Time [s],Channel 7
2.658806812,1
2.658975625,0
2.659016687,1
2.660019437,0
2.660062313,1
2.661379750,0
2.661421625,1
2.662637125,0
2.662676750,1
2.662846188,0
2.662885938,1
2.663055438,0
2.663093500,1
2.663093562,0
2.663095625,1
2.663369813,0
2.663407875,1
2.702394750,0
2.702438000,1
2.704822500,0
2.704865000,1
2.705030625,0
2.705073125,1
2.705238625,0
2.705279313,1
2.705446687,0
2.705486562,1
2.705654688,0
2.705693500,1
2.705966562,0
2.706008750,1
2.706278563,0
2.706320375,1
2.706590500,0
2.706632313,1
2.706798562,0
2.706839250,1
2.707110500,0
2.707151500,1
2.707318625,0
2.707359813,1
2.707838687,0
2.707876437,1
2.708254500,0
2.708297313,1
2.709398312,0
2.709443000,1
2.710022438,0
2.710064562,1
2.732443438,0
2.732488813,1
2.734871250,0
2.734914312,1
2.735079250,0
2.735120438,1
2.735287187,0
2.735329375,1
2.735495312,0
2.735535437,1
2.735703313,0
2.735744687,1
2.736015188,0
2.736059125,1
2.736327188,0
2.736369000,1
2.736743375,0
2.736782125,1
2.737269813,0
2.737314313,1
2.737479375,0
2.737520625,1
2.738004688,0
2.738044375,1
2.738527687,0
2.738570500,1
2.738947813,0
2.738987813,1
2.739157188,0
2.739197562,1
2.739680250,0
2.739721813,1
2.739889687,0
2.739931125,1
2.740309750,0
2.740349563,1
2.740936937,0
2.740977250,1
2.740977313,0
2.740980313,1
2.742301187,0
2.742342875,1
2.743034687,0
2.743078875,1
2.782149500,0
2.782198188,1
2.784569438,0
2.784613687,1
2.784777562,0
2.784821313,1
2.784985500,0
2.785028688,1
2.785193625,0
2.785235312,1
2.785401625,0
2.785442563,1
2.785713500,0
2.785757063,1
2.786025500,0
2.786070375,1
2.786337500,0
2.786381688,1
2.786545562,0
2.786589188,1
2.786857500,0
2.786900750,1
2.787065563,0
2.787109437,1
2.787585438,0
2.787628687,1
2.788001375,0
2.788049250,1
2.789145313,0
2.789191500,1
2.789665375,0
2.789711000,1
2.789977500,0
2.790019250,1
2.812327438,0
2.812376438,1
2.814739562,0
2.814784813,1
2.814947625,0
2.814990063,1
2.815155625,0
2.815200125,1
2.815363625,0
2.815407062,1
2.815571687,0
2.815611188,1
2.815611250,0
2.815613625,1
2.815883562,0
2.815929250,1
2.816195500,0
2.816241125,1
2.816611687,0
2.816652000,1
2.817155375,0
2.817200938,1
2.817362250,0
2.817402750,1
2.817879062,0
2.817923125,1
2.818292562,0
2.818338875,1
2.819429813,0
2.819474250,1
2.820256750,0
2.820302750,1
2.820566938,0
2.820613125,1
2.821290750,0
2.821332750,1
2.821704187,0
2.821748313,1
2.822221063,0
2.822265312,1
2.822427875,0
2.822471563,1
2.862304625,0
2.862353938,1
2.864740312,0
2.864785438,1
2.864948375,0
2.864991125,1
2.865156375,0
2.865197687,1
2.865364437,0
2.865409313,1
2.865572375,0
2.865615313,1
2.865884312,0
2.865928750,1
2.866196313,0
2.866241375,1
2.866508313,0
2.866553500,1
2.866716438,0
2.866758875,1
2.867028250,0
2.867075063,1
2.867340438,0
2.867382062,1
2.867756438,0
2.867799563,1
2.868172375,0
2.868216063,1
2.869316125,0
2.869364812,1
2.869524312,0
2.869570313,1
2.869940125,0
2.869987250,1
2.892473063,0
2.892523563,1
2.894893063,0
2.894939000,1
2.895101063,0
2.895143562,1
2.895309062,0
2.895353812,1
2.895517125,0
2.895560812,1
2.895725125,0
2.895767563,1
2.896037000,0
2.896081750,1
2.896348937,0
2.896393250,1
2.896765125,0
2.896808375,1
2.897393125,0
2.897441625,1
2.897707000,0
2.897750125,1
2.898125563,0
2.898166438,1
2.898542937,0
2.898586500,1
2.898855625,0
2.898901500,1
2.899064437,0
2.899108375,1
2.899690688,0
2.899735375,1
2.899899500,0
2.899944125,1
2.900419750,0
2.900464750,1
2.900836250,0
2.900884313,1
2.901988438,0
2.902031750,1
2.902407063,0
2.902447250,1
2.902615813,0
2.902657688,1
2.942179125,0
2.942226875,1
2.944622750,0
2.944665937,1
2.944830812,0
2.944874750,1
2.945038812,0
2.945082188,1
2.945246875,0
2.945289875,1
2.945454875,0
2.945498063,1
2.945766750,0
2.945813875,1
2.946078750,0
2.946125312,1
2.946390750,0
2.946436250,1
2.946598750,0
2.946641937,1
2.946910750,0
2.946954687,1
2.947430875,0
2.947472875,1
2.947638875,0
2.947681063,1
2.948054750,0
2.948100750,1
2.949198562,0
2.949246875,1
2.949614562,0
2.949662313,1
2.949822812,0
2.949867312,1
2.972467187,0
2.972517438,1
2.974895188,0
2.974941312,1
2.975103250,0
2.975145750,1
2.975311313,0
2.975353125,1
2.975519312,0
2.975560312,1
2.975727313,0
2.975769062,1
2.976039188,0
2.976083000,1
2.976351125,0
2.976396750,1
2.976767375,0
2.976808313,1
2.977395562,0
2.977442313,1
2.977920375,0
2.977962625,1
2.978129500,0
2.978172500,1
2.978755062,0
2.978800000,1
2.979174250,0
2.979217563,1
2.979488625,0
2.979528563,1
2.979905750,0
2.979949625,1
2.981265875,0
2.981312562,1
2.982524000,0
2.982568812,1
2.982837937,0
2.982878125,1
2.983359188,0
2.983402813,1
3.022181375,0
3.022229187,1
3.024624875,0
3.024671062,1
3.024833000,0
3.024875500,1
3.025041125,0
3.025082312,1
3.025249062,0
3.025290375,1
3.025457125,0
3.025498438,1
3.025768938,0
3.025812938,1
3.026080875,0
3.026126000,1
3.026392875,0
3.026438625,1
3.026601000,0
3.026644500,1
3.026912938,0
3.026956750,1
3.027121063,0
3.027162688,1
3.027641062,0
3.027682062,1
3.028056938,0
3.028101063,1
3.029200813,0
3.029247375,1
3.029824812,0
3.029872563,1
3.053142438,0
3.053191250,1
3.055562313,0
3.055606000,1
3.055770438,0
3.055813250,1
3.055978500,0
3.056019750,1
3.056019813,0
3.056022187,1
3.056186500,0
3.056229375,1
3.056394562,0
3.056436437,1
3.056706375,0
3.056750562,1
3.057018312,0
3.057064313,1
3.057434437,0
3.057476687,1
3.057960625,0
3.058005375,1
3.058170250,0
3.058213563,1
3.058695625,0
3.058737000,1
3.059114437,0
3.059157687,1
3.059534688,0
3.059575125,1
3.059744063,0
3.059786000,1
3.060475375,0
3.060520063,1
3.060685000,0
3.060727500,1
3.061105062,0
3.061147375,1
3.061628000,0
3.061674688,1
3.062784125,0
3.062826000,1
3.063517750,0
3.063562812,1
3.102248250,0
3.102295125,1
3.104683812,0
3.104728250,1
3.104891938,0
3.104935500,1
3.105100000,0
3.105144250,1
3.105307938,0
3.105348938,1
3.105516000,0
3.105556813,1
3.105931875,0
3.105976500,1
3.106243875,0
3.106288563,1
3.106555750,0
3.106601250,1
3.106763937,0
3.106807750,1
3.107075813,0
3.107122438,1
3.107283938,0
3.107326688,1
3.107803812,0
3.107848312,1
3.108219812,0
3.108265375,1
3.109363688,0
3.109409625,1
3.109883813,0
3.109928813,1
3.110196000,0
3.110238563,1
3.132345813,0
3.132392563,1
3.134773625,0
3.134817187,1
3.134981687,0
3.135023375,1
3.135189625,0
3.135233875,1
3.135397687,0
3.135440625,1
3.135605688,0
3.135648875,1
3.135917625,0
3.135963312,1
3.136229563,0
3.136274000,1
3.136645625,0
3.136688250,1
3.137124875,0
3.137169875,1
3.137331625,0
3.137374000,1
3.137848562,0
3.137893688,1
3.138261937,0
3.138308875,1
3.139399250,0
3.139442563,1
3.140226250,0
3.140272313,1
3.140536438,0
3.140582250,1
3.141260250,0
3.141303312,1
3.141673687,0
3.141716500,1
3.142190563,0
3.142236500,1
3.142397375,0
3.142440313,1
3.182370188,0
3.182417250,1
3.184797937,0
3.184841313,1
3.185006062,0
3.185050313,1
3.185214000,0
3.185257813,1
3.185422062,0
3.185464562,1
3.185630063,0
3.185671875,1
3.185942000,0
3.185986750,1
3.186253938,0
3.186300688,1
3.186565938,0
3.186610813,1
3.186774063,0
3.186817750,1
3.187085938,0
3.187129188,1
3.187398062,0
3.187439813,1
3.187814125,0
3.187855938,1
3.188229938,0
3.188274250,1
3.189373687,0
3.189422313,1
3.189582000,0
3.189626188,1
3.189997875,0
3.190045062,1
3.212379500,0
3.212427375,1
3.214807313,0
3.214852625,1
3.215015312,0
3.215059750,1
3.215223375,0
3.215266812,1
3.215431375,0
3.215473875,1
3.215639313,0
3.215683000,1
3.215951187,0
3.215997375,1
3.216263250,0
3.216309312,1
3.216679375,0
3.216721812,1
3.217309687,0
3.217356375,1
3.217623563,0
3.217665063,1
3.218042188,0
3.218084375,1
3.218459688,0
3.218504438,1
3.218772250,0
3.218818000,1
3.218981125,0
3.219024812,1
3.219607438,0
3.219652562,1
3.219816375,0
3.219858687,1
3.220336562,0
3.220380688,1
3.220753063,0
3.220800437,1
3.222008938,0
